metric,mean,std
accuracy,0.935754204804174,0.0019650483063824577
precision_macro,0.9359192203954627,0.0020631065683852858
recall_macro,0.9357561904761905,0.0019641189539603005
f1_macro,0.9356756038752334,0.001965958837018639
