model,cv_accuracy,cv_accuracy_std,cv_f1_macro,cv_f1_macro_std,test_accuracy,test_accuracy_std,test_f1_macro,test_f1_macro_std
Random Forest,0.9365923241338899,0.002121213723769195,0.9365442131626815,0.0021250617035138003,0.9364266666666666,0.00019450221364062387,0.9363675352971179,0.00019700940081386089
SVM,0.9318455181421876,0.001927004818672625,0.9315965660921179,0.0019299367157865732,0.9324266666666666,6.953815898884955e-05,0.9321706313319224,6.403652244164109e-05
MLP,0.935754204804174,0.0019650483063824577,0.9356756038752334,0.001965958837018639,0.93504,0.00023551362310209148,0.9349386925390925,0.00024748259991073143
