,t1,t2,accuracy,precision,recall,f1
mean,0.07796449478575071,1.4188300898776631,0.9353159377744591,0.9352354879058563,0.9353173333333332,0.9352603408871211
std,8.895383385674e-06,0.00024618150447108214,0.0014660338102340164,0.0014548216759335902,0.0014651628654256078,0.0014659226736913784
