Complexity,Loss,Equation
1,0.3529983,"x0"
3,0.29653832,"x0 - -0.23761493"
5,0.23871577,"(x0 * 0.7312238) + 0.44252405"
6,0.11073797,"exp((-0.2190454 / x0) + 0.71433717)"
7,0.09314596,"(-1.0466136 / (x0 - -0.4567799)) + 2.3319762"
8,0.086676605,"(x0 / 2.352838) + exp(-0.003010771 / x0)"
9,0.08582775,"x0 * ((1.1140784 / (x0 + 0.021099849)) - -0.37162313)"
10,0.083208896,"exp((-0.021230109 / x0) + (x0 / (x0 + 1.1783315)))"
