idx_eq,complexity,k_thresholds,k_probabilities,k_total_for_ic,pysr_loss,val_rerank_acc,val_rerank_f1,log_likelihood,neg2_log_likelihood,aic,bic,selection_score,t_probe,classes,region_class_counts,region_class_probs,equation,delta_aic,delta_bic
2,4,1,2,7,0.002637904,0.9978,0.9977999920579713,-293.91112439380134,587.8222487876027,601.8222487876027,657.1466616553556,657.1466616553556,0.2647918904894985,"[0, 1]","[[9997.0, 41.0], [3.0, 9959.0]]","[[0.9958167330677291, 0.0041832669322709164], [0.0004014452027298274, 0.9995985547972702]]",exp(-0.0032797274 / x0),0.0,0.0
0,1,1,2,4,0.14285286,0.99755,0.9975499852937867,-310.7371056414113,621.4742112828226,629.4742112828226,661.0881614929671,661.0881614929671,0.010706687690481014,"[0, 1]","[[10000.0, 49.0], [0.0, 9951.0]]","[[0.9950253706098896, 0.0049746293901104365], [0.00010047221943132724, 0.9998995277805687]]",x0,27.65196249521989,3.9414998376114454
3,6,1,2,9,0.002492899,0.9978,0.9977999920579713,-293.91112439380134,587.8222487876027,605.8222487876027,676.9536367604278,676.9536367604278,0.08860582040452138,"[0, 1]","[[9997.0, 41.0], [3.0, 9959.0]]","[[0.9958167330677291, 0.0041832669322709164], [0.0004014452027298274, 0.9995985547972702]]",exp(-1.4267961e-5 / (x0 * x0)),4.0,19.806975105072183
1,3,1,2,6,0.087744705,0.99755,0.9975499852937867,-310.7371056414113,621.4742112828226,633.4742112828226,680.8951365980394,680.8951365980394,0.24545783769048102,"[0, 1]","[[10000.0, 49.0], [0.0, 9951.0]]","[[0.9950253706098896, 0.0049746293901104365], [0.00010047221943132724, 0.9998995277805687]]",x0 - -0.23475115,31.65196249521989,23.748474942683742
4,8,1,2,11,0.0024868508,0.9978,0.9977999920579713,-293.91112439380134,587.8222487876027,609.8222487876027,696.7606118655001,696.7606118655001,0.09105886565002518,"[0, 1]","[[9997.0, 41.0], [3.0, 9959.0]]","[[0.9958167330677291, 0.0041832669322709164], [0.0004014452027298274, 0.9995985547972702]]",exp(-1.4544992e-5 / (x0 * x0)) + 0.0024530797,8.0,39.61395021014448
5,10,1,2,13,0.0024825453,0.9978,0.9977999920579713,-293.91112439380134,587.8222487876027,613.8222487876027,716.5675869705724,716.5675869705724,0.09263800093215328,"[0, 1]","[[9997.0, 41.0], [3.0, 9959.0]]","[[0.9958167330677291, 0.0041832669322709164], [0.0004014452027298274, 0.9995985547972702]]",(exp(-1.4544992e-5 / (x0 * x0)) + 0.0043641306) * 0.99642986,12.0,59.42092531521678
