fold,t,accuracy,precision,recall,f1
1,0.4597366755102823,0.99815,0.9981568197668627,0.99815,0.9981499936683533
2,0.4597388909801896,0.9975,0.9975124378109452,0.9975,0.9974999843749024
3,0.45974587607835576,0.998,0.99800796812749,0.998,0.997999991999968
4,0.4597379092647334,0.99805,0.9980575754557226,0.99805,0.9980499925850967
5,0.45974279922113725,0.99835,0.998355427090601,0.9983500000000001,0.9983499955078627
