,t,accuracy,precision,recall,f1
mean,0.45974043021093963,0.9980100000000001,0.9980180456503243,0.9980100000000001,0.9980099916272367
std,3.8109007902734543e-06,0.0003150396800404326,0.00031240516196401466,0.0003150396800404625,0.0003150439163697711
