objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237664878345716292,7.262324160579523e+18,GALAXY,4518,301,2,198,158.76822143745,33.9124148322291,0.5246494,24.71888,0.003159928,1.559257,0.06954999,21.95916,0.4552938,1.318702,0.05419288,20.70144,0.6190224,1.274426,0.03749038,19.78699,0.7957925,1.154844,0.02785937,19.46989,0.7082878,1.154382,0.02072226,2.775076,1.274424,0.924078,0.3242378
1237664289387249968,6.0530925365743e+18,STAR,4381,301,1,29,174.908457165765,13.9312525510241,0.0004008332,21.90545,0.9916818,1.221614,0.1408536,20.95411,0.1167691,1.021712,0.1097521,20.67089,0.1149088,0.9020188,0.07592602,20.47263,0.1315486,0.929135,0.05642117,20.24713,0.195615,0.9427415,0.04196699,0.9824409,0.3170547,0.2177582,0.239954
1237667538013717094,2.799135392631122e+18,STAR,5137,301,4,343,165.38023026361,23.9027992461814,0.0002823012,23.33051,0.3961512,1.150025,0.06800601,22.4619,0.0136216,1.093694,0.05298982,20.72865,0.03734752,0.9949231,0.03665811,20.12876,0.111174,0.9058732,0.02724091,19.50734,0.2167071,0.9828707,0.02026223,0.8836269,1.749586,0.6093121,0.628397
1237671260658401458,6.188010857978679e+18,STAR,6004,301,2,65,125.882543631582,8.58798363959832,0.0002431749,24.29382,0.386212,1.166694,0.119735,21.20991,2.257811e-06,1.171224,0.0932967,20.66122,0.1008692,1.086762,0.06454223,20.48312,0.2312896,0.8679796,0.04796179,20.39202,0.1301117,0.9479713,0.03567476,3.11035,0.5774364,0.1946812,0.1033897
1237648721754849741,4.311260497976775e+18,STAR,756,301,4,234,150.800090611516,0.214114199006295,0.0005534352,22.40433,0.3659375,1.210552,0.1243035,20.91472,0.006852573,1.137311,0.09685645,20.63588,0.001947759,0.976943,0.06700484,20.54761,1.322701e-05,0.9704267,0.04979178,20.48103,0.4113483,0.9931333,0.03703593,1.517059,0.308691,0.105484,0.07933426
1237680099699852017,8.849646502848778e+18,STAR,8062,301,2,46,22.5017121465099,1.82357784182882,8.798279e-05,25.64636,0.0004912784,1.382816,0.09409081,22.25987,0.1033243,1.148911,0.07331492,20.71119,0.05799748,0.9371302,0.05071892,19.58705,0.08835017,0.8938886,0.0376896,18.88889,0.003434659,0.9849921,0.02803413,3.407265,1.571278,1.137173,0.7078114
1237651496295399863,4.150254061982339e+18,STAR,1402,301,4,107,120.884432163986,46.9843383235777,1.433966e-05,21.64495,0.1207995,1.420921,0.2468086,20.87093,0.005652146,1.367049,0.1923116,20.57213,0.134572,1.223093,0.1330403,20.43777,0.09979601,1.173009,0.0988632,20.20286,0.2321446,1.154601,0.07353605,0.8285103,0.3580761,0.1685333,0.2602425
1237663917336822381,7.191293510351606e+18,STAR,4294,301,4,46,114.45177505453,46.6896284413676,0.0002299354,24.72566,0.2360304,1.207005,0.4984687,21.7219,0.3662781,1.148982,0.3884034,20.47373,0.2681042,0.9985769,0.2686957,19.4365,0.1152259,0.9878021,0.1996697,18.87667,0.1345665,0.9972102,0.1485176,3.113827,1.367876,1.106258,0.610981
1237679255747232139,8.814730961436824e+18,STAR,7865,301,6,175,38.956371459602,-3.09502136574491,1.584821e-05,24.58422,0.06386989,1.430277,0.106657,21.95149,3.476486e-05,1.307817,0.08310641,20.64365,0.000581067,1.273446,0.05749263,19.23512,0.02753784,1.328839,0.04272318,18.53364,0.09540239,1.220767,0.0317782,2.656284,1.333448,1.4233,0.7124252
1237667143396687904,2.554807963252452e+18,STAR,5045,301,5,85,123.678536860798,17.7246958351462,4.767938e-05,23.70292,0.005709785,1.671005,0.2198935,23.27525,1.777749e-05,1.63039,0.1713395,20.64985,0.0009515617,1.394388,0.1185319,20.02798,0.0006809597,1.280932,0.08808189,19.60316,0.1269776,1.429025,0.06551674,0.4762211,2.678205,0.6523247,0.4473801
1237669763870097887,4.984574769209037e+18,STAR,5655,301,6,184,333.99916460728,7.39236382032246,9.848805e-05,21.00794,0.08234556,1.012148,0.3228411,20.49983,0.02501853,1.024949,0.2515557,20.53732,0.09842561,1.042187,0.174025,20.58484,0.146453,1.08048,0.1293193,20.5175,0.05843458,1.140621,0.09618976,0.5793877,0.04004669,-0.002813339,0.1004639
1237663239278166469,2.972505021742082e+18,STAR,4136,301,5,188,55.3764189927434,0.444180956632835,5.228999e-05,24.79728,3.027516e-05,1.107898,0.3959054,22.22423,0.3663918,1.093205,0.3084868,20.55483,0.3663648,0.8945037,0.2134098,19.38018,0.3744464,0.8476349,0.1585863,18.7382,0.309166,1.064539,0.1179591,2.660461,1.764479,1.229473,0.6826115
1237671260671246668,2.916153121656826e+18,STAR,6004,301,2,261,155.128470422112,14.6778231695033,0.0001457753,23.00744,0.4525493,1.513263,0.2599762,21.95936,0.250212,1.027015,0.2025717,20.5825,0.08578145,1.079287,0.1401382,19.59291,0.001336094,1.076503,0.1041377,19.3725,0.1602853,0.9744982,0.07745931,1.10549,1.439293,1.025593,0.2470837
