Complexity,Loss,Equation
1,0.14285286,"x0"
3,0.087744705,"x0 - -0.23475115"
4,0.002637904,"exp(-0.0032797274 / x0)"
6,0.002492899,"exp(-1.4267961e-5 / (x0 * x0))"
8,0.0024868508,"exp(-1.4544992e-5 / (x0 * x0)) + 0.0024530797"
10,0.0024825453,"(exp(-1.4544992e-5 / (x0 * x0)) + 0.0043641306) * 0.99642986"
