,t,accuracy,precision,recall,f1
mean,0.43385207910514556,0.9985119513561085,0.9985164230038229,0.9985120000000001,0.9985119479762796
std,4.317978135429602e-06,0.0002567604802024234,0.00025529831806252396,0.0002567489045740898,0.00025676205649920235
