idx_eq,complexity,k_thresholds,k_probabilities,k_total_for_ic,pysr_loss,val_rerank_acc,val_rerank_f1,log_likelihood,neg2_log_likelihood,aic,bic,selection_score,t_probe,classes,region_class_counts,region_class_probs,equation,delta_aic,delta_bic
2,4,1,2,7,0.0015948724,0.9983998719897592,0.9983998682922233,-135.94457720680106,271.8891544136021,285.8891544136021,337.9229818542336,337.9229818542336,0.4283646975159884,"[0, 1]","[[6249.0, 20.0], [0.0, 6230.0]]","[[0.9966512517939723, 0.003348748206027747], [0.00016046213093709883, 0.9998395378690629]]",exp(-0.0035704516 / x0),0.0,0.0
0,1,1,2,4,0.13890801,0.998079846387711,0.9980798398857766,-158.55677058752906,317.1135411750581,325.1135411750581,354.84715685541903,354.84715685541903,0.00965584262577215,"[0, 1]","[[6249.0, 24.0], [0.0, 6226.0]]","[[0.9960159362549801, 0.00398406374501992], [0.00016056518946692356, 0.9998394348105331]]",x0,39.224386761456,16.924175001185404
3,6,1,2,9,0.0014465209,0.9983998719897592,0.9983998682922233,-135.94457720680106,271.8891544136021,289.8891544136021,356.78978969441414,356.78978969441414,0.46834370992198193,"[0, 1]","[[6249.0, 20.0], [0.0, 6230.0]]","[[0.9966512517939723, 0.003348748206027747], [0.00016046213093709883, 0.9998395378690629]]",exp((-1.3249055e-5 / x0) / x0),4.0,18.866807840180513
1,3,1,2,6,0.07282612,0.998079846387711,0.9980798398857766,-158.55677058752906,317.1135411750581,329.1135411750581,373.71396469559943,373.71396469559943,0.015915104529379397,"[0, 1]","[[6249.0, 24.0], [0.0, 6226.0]]","[[0.9960159362549801, 0.00398406374501992], [0.00016056518946692356, 0.9998394348105331]]",x0 * 1.6482357,43.224386761456,35.7909828413658
4,8,1,2,11,0.0014339284,0.9983998719897592,0.9983998682922233,-135.94457720680106,271.8891544136021,293.8891544136021,375.65659753459454,375.65659753459454,0.4177214589435653,"[0, 1]","[[6249.0, 20.0], [0.0, 6230.0]]","[[0.9966512517939723, 0.003348748206027747], [0.00016046213093709883, 0.9998395378690629]]",exp(-6.3298444e-8 / ((x0 * x0) * x0)),8.0,37.73361568036091
5,10,1,2,13,0.0014320944,0.9983998719897592,0.9983998682922233,-135.94457720680106,271.8891544136021,297.8891544136021,394.523405374775,394.523405374775,0.41912990006840495,"[0, 1]","[[6249.0, 20.0], [0.0, 6230.0]]","[[0.9966512517939723, 0.003348748206027747], [0.00016046213093709883, 0.9998395378690629]]",exp(-6.369394e-8 / (x0 * (x0 * x0))) + 0.0014084415,12.0,56.60042352054137
