fold,t,accuracy,precision,recall,f1
1,0.43385652613827397,0.99888,0.9988825031928481,0.99888,0.9988799985950703
2,0.43384589603347296,0.99848,0.9984846067953421,0.99848,0.9984799964881839
3,0.4338548904019228,0.99824,0.9982461734693877,0.99824,0.9982399945482071
4,0.4338495300359908,0.9983198655892471,0.9983253588516746,0.99832,0.9983198612874038
5,0.43385355291606725,0.9986398911912953,0.9986434727098628,0.99864,0.9986398889625328
