model,cv_accuracy,cv_accuracy_std,cv_f1_macro,cv_f1_macro_std,test_accuracy,test_accuracy_std,test_f1_macro,test_f1_macro_std,ext_accuracy,ext_accuracy_std,ext_f1_macro,ext_f1_macro_std
Random Forest,0.997899984948442,0.00021594644935652484,0.9978999758987687,0.00021594870984786098,0.99775,7.582875444050716e-05,0.9977499905443352,7.582837274535999e-05,0.9992640100935759,4.70206703290986e-05,0.9992640096949037,4.702068922052633e-05
SVM,0.9976071265300291,0.00016750440856547563,0.9976071125529055,0.00016750721047580864,0.9974,2.2360679774995435e-05,0.9973999824238812,2.2361142031444336e-05,0.9988960151403637,1.2412670766236366e-16,0.9988960137948446,0.0
MLP,0.9975785545912353,0.0001381284510399421,0.9975785401768926,0.00013813073220376448,0.9973,0.0001294217910554336,0.9972999803168565,0.00012942481200710877,0.9988434444327621,2.3510335164521368e-05,0.9988434428857272,2.3510425285078997e-05
