metric,mean,std
accuracy,0.9988539585742824,2.3510335164521368e-05
precision_macro,0.9988565802674358,2.3404402435982184e-05
recall_macro,0.9988539585742824,2.351033516457102e-05
f1_macro,0.9988539570675506,2.3510425285078997e-05
