fold,t1,t2,accuracy,precision,recall,f1
1,0.09081022255686891,1.589168678127072,0.9016,0.9097120555717658,0.9015999999999998,0.900731661381183
2,0.09082469944017957,1.589578251248326,0.9063666666666667,0.9144385036046785,0.9063666666666667,0.9055636370712667
3,0.09080997815337646,1.5891984618403479,0.9051666666666667,0.9138188412295051,0.9051666666666667,0.9043056581423081
4,0.09081618947414968,1.5893361988835015,0.9035,0.9116855496321096,0.9035000000000001,0.9026563796376935
5,0.09081301467633374,1.5892500434135857,0.9014333333333333,0.9103124923769687,0.9014333333333333,0.9004928096658592
