fold,t1,t2,accuracy,precision,recall,f1
1,0.09081022255686891,1.589168678127072,0.9382097294266087,0.93918276682153,0.9382075979468937,0.938129042081154
2,0.09082469944017957,1.589578251248326,0.938279826160101,0.9392675072323223,0.9382776885384029,0.9381985288795708
3,0.09080997815337646,1.5891984618403479,0.9382097294266087,0.93918276682153,0.9382075979468937,0.938129042081154
4,0.09081618947414968,1.5893361988835015,0.9381746810598626,0.9391511128082373,0.9381725471231993,0.9380937623508309
5,0.09081301467633374,1.5892500434135857,0.9382097294266087,0.93918276682153,0.9382075979468937,0.938129042081154
