metric,mean,std
accuracy,0.9382167390999581,3.839356214113794e-05
precision,0.9391933841010299,4.364424549379789e-05
recall,0.9382146059004567,3.839171197686984e-05
f1,0.9381358834947727,3.820683781856081e-05
