,t1,t2,accuracy,precision,recall,f1
mean,0.09081482086018167,1.5893063267025667,0.9036133333333334,0.9119934884830055,0.9036133333333334,0.9027500291796622
std,6.068730295914434e-06,0.0001647612463809306,0.002168665744440847,0.002087793210979767,0.002168665744440871,0.002208732078436857
