idx_eq,complexity,k_thresholds,k_probabilities,k_total_for_ic,pysr_loss,val_rerank_acc,val_rerank_f1,log_likelihood,neg2_log_likelihood,aic,bic,selection_score,t1_probe,t2_probe,classes,region_class_counts,region_class_probs,equation,delta_aic,delta_bic
4,7,2,6,15,0.09314596,0.9051333333333333,0.9040663515404616,-7807.344078503425,15614.68815700685,15644.68815700685,15769.322446916514,15769.322446916514,0.06553269786900678,1.6190807216986787,"[0, 1, 2]","[[10000.0, 46.0, 0.0], [0.0, 9610.0, 2456.0], [0.0, 344.0, 7544.0]]","[[0.9952234053139616, 0.004677082296745945, 9.95123892924669e-05], [8.285690612312537e-05, 0.7963377247493578, 0.203579418344519], [0.00012672665061462426, 0.043720694462045365, 0.95615257888734]]",(-1.0466136 / (x0 - -0.4567799)) + 2.3319762,9.05653910071669,0.0
6,9,2,6,17,0.08582775,0.9051666666666667,0.9040980566823998,-7800.815808953067,15601.631617906134,15635.631617906134,15776.883813137087,15776.883813137087,0.18512380509268564,1.467399493969108,"[0, 1, 2]","[[10000.0, 45.0, 0.0], [0.0, 9612.0, 2457.0], [0.0, 343.0, 7543.0]]","[[0.9953224522292994, 0.004578025477707006, 9.952229299363058e-05], [8.28363154406892e-05, 0.7963055003313453, 0.20361166335321404], [0.00012675877804537965, 0.0436050196476106, 0.956268221574344]]",x0 * ((1.1140784 / (x0 + 0.021099849)) - -0.37162313),0.0,7.561366220572381
7,10,2,6,18,0.083208896,0.9051,0.904108511232927,-7864.711226163123,15729.422452326246,15765.422452326246,15914.983600217844,15914.983600217844,0.024973325759372424,1.5483461970810903,"[0, 1, 2]","[[10000.0, 47.0, 0.0], [0.0, 9569.0, 2416.0], [0.0, 384.0, 7584.0]]","[[0.9951243781094528, 0.004776119402985075, 9.950248756218905e-05], [8.341675008341675e-05, 0.7982982982982983, 0.2016182849516183], [0.00012545477355413375, 0.04830008781834149, 0.9515744574081044]]",exp((-0.021230109 / x0) + (x0 / (x0 + 1.1783315))),129.79083442011142,145.66115330132925
5,8,2,6,16,0.086676605,0.9048333333333334,0.9039610326836183,-7955.56086743856,15911.12173487712,15943.12173487712,16076.06497744743,16076.06497744743,0.5054526665867898,1.409919092544087,"[0, 1, 2]","[[10000.0, 45.0, 0.0], [0.0, 9498.0, 2353.0], [0.0, 457.0, 7647.0]]","[[0.9953224522292994, 0.004578025477707006, 9.952229299363058e-05], [8.435970980259827e-05, 0.8013328834148811, 0.19858275687531635], [0.00012335019119279634, 0.05649438756630073, 0.9433822622425064]]",(x0 / 2.352838) + exp(-0.003010771 / x0),307.4901169709865,306.74253053091525
0,1,2,6,9,0.3529983,0.9039666666666667,0.9030253753635402,-8049.905313944143,16099.810627888286,16117.810627888286,16192.591201834084,16192.591201834084,0.03287844632436708,0.9852926367935124,"[0, 1, 2]","[[10000.0, 72.0, 0.0], [0.0, 9504.0, 2385.0], [0.0, 424.0, 7615.0]]","[[0.9926550868486352, 0.007245657568238213, 9.925558312655087e-05], [8.409014463504877e-05, 0.7992768247561386, 0.20063908509922637], [0.00012434717731907486, 0.052847550360606815, 0.9470281024620741]]",x0,482.1790099821519,423.2687549175698
1,3,2,6,11,0.29653832,0.9039666666666667,0.9030253753635402,-8049.905313944143,16099.810627888286,16121.810627888286,16213.209107155373,16213.209107155373,0.2704933763243671,1.2229075667935125,"[0, 1, 2]","[[10000.0, 72.0, 0.0], [0.0, 9504.0, 2385.0], [0.0, 424.0, 7615.0]]","[[0.9926550868486352, 0.007245657568238213, 9.925558312655087e-05], [8.409014463504877e-05, 0.7992768247561386, 0.20063908509922637], [0.00012434717731907486, 0.052847550360606815, 0.9470281024620741]]",x0 - -0.23761493,486.1790099821519,443.8866602388589
2,5,2,6,13,0.23871577,0.9039666666666667,0.9030253753635402,-8049.905313944143,16099.810627888286,16125.810627888286,16233.827012476662,16233.827012476662,0.4665655524593997,1.1629934759881722,"[0, 1, 2]","[[10000.0, 72.0, 0.0], [0.0, 9504.0, 2385.0], [0.0, 424.0, 7615.0]]","[[0.9926550868486352, 0.007245657568238213, 9.925558312655087e-05], [8.409014463504877e-05, 0.7992768247561386, 0.20063908509922637], [0.00012434717731907486, 0.052847550360606815, 0.9470281024620741]]",(x0 * 0.7312238) + 0.44252405,490.1790099821519,464.50456556014797
3,6,2,6,14,0.11073797,0.9028666666666667,0.9018506953644199,-8173.775797819408,16347.551595638815,16375.551595638815,16491.876932887837,16491.876932887837,0.023765125925005636,1.6397936888253888,"[0, 1, 2]","[[10000.0, 113.0, 0.0], [0.0, 9502.0, 2416.0], [0.0, 385.0, 7584.0]]","[[0.9886318703044682, 0.011269276393831554, 9.885330170027679e-05], [8.388558006878618e-05, 0.797164667393675, 0.2027514470262562], [0.0001254390366281987, 0.048419468138484696, 0.951455092824887]]",exp((-0.2190454 / x0) + 0.71433717),739.9199777326812,722.5544859713227
