fold,accuracy,precision_macro,recall_macro,f1_macro
1,0.9387354549278004,0.9404133015245678,0.9387330175700407,0.9386194305969907
2,0.9383499228935932,0.9399209357065587,0.9383475211593874,0.9382374110164496
3,0.9387705032945465,0.9404730528119342,0.9387680573378555,0.938652436398293
4,0.9388756483947848,0.940630858915955,0.9388731840118861,0.9387552172815149
5,0.9387705032945465,0.9404162815762801,0.9387680794496148,0.938656182953531
