,accuracy,precision_macro,recall_macro,f1_macro
fold_1,0.9045714285714286,0.9116888611767698,0.9045714285714285,0.9038312053631609
fold_2,0.9037619047619048,0.9112002494274708,0.9037619047619048,0.9029945918329002
fold_3,0.9043571428571429,0.9116448644250273,0.9043571428571427,0.9036057542216661
fold_4,0.906,0.914071678886175,0.906,0.9052087831499046
fold_5,0.9024976785161551,0.9100843584947317,0.9024985968385497,0.9016998883116868
