fold,accuracy,precision_macro,recall_macro,f1_macro
1,0.937964390859386,0.9385669838605656,0.9379624669839188,0.9379004670049153
2,0.9385602130940698,0.9393063717667487,0.9385582130573402,0.9384901698064523
3,0.9374386653581943,0.93765664556286,0.937437032619599,0.937393742890719
4,0.9386653581943082,0.9398078089201803,0.9386631517814173,0.9385759938874164
5,0.9378241973924015,0.9383875633024455,0.9378222968567803,0.9377632412852459
