model,cv_accuracy,cv_accuracy_std,cv_f1_macro,cv_f1_macro_std,test_accuracy,test_accuracy_std,test_f1_macro,test_f1_macro_std,ext_accuracy,ext_accuracy_std,ext_f1_macro,ext_f1_macro_std
Random Forest,0.9042376309413264,0.0011388940683400332,0.9034680445758637,0.0011429395925856255,0.9008,8.027729719199973e-05,0.8998887525742355,9.001022285785499e-05,0.9388406000280387,0.00018644940527502913,0.9387788882036546,0.0001851439093037829
SVM,0.9034281045240308,0.0008958309767586475,0.9024418447147777,0.0009011568851231935,0.8999333333333334,5.9628479399987825e-05,0.8987876066910768,5.895655598661969e-05,0.9387004065610542,0.00020285708858104693,0.9385836026230301,0.0002003674347286648
MLP,0.9038138203970842,0.0009341926590622595,0.9030640151353018,0.0008968681701065063,0.8998666666666667,0.00026140645235598595,0.8989186074589433,0.0003641511091474505,0.938314874526847,0.0005154612758515886,0.9382353604028993,0.000500621728134887
