model,cv_accuracy,cv_accuracy_std,cv_f1_macro,cv_f1_macro_std,test_accuracy,test_accuracy_std,test_f1_macro,test_f1_macro_std
Random Forest,0.9985142184451357,0.00022858008480529162,0.9985142153260004,0.00022858166212806426,0.99816,0.0,0.9981599937704749,1.2412670766236366e-16
SVM,0.998102767015258,0.00020890271754501824,0.9981027602928407,0.0002089047515419437,0.998,0.0,0.997999991999968,1.2412670766236366e-16
MLP,0.9979084728106912,0.0004050663143390752,0.9979084629936162,0.0004050727089609418,0.998,0.0002491585840383497,0.997999991999968,0.0002491626992357912
